 1 distal aux membres inférieurs	distal en las extremidades inferiores...	     
 1 dossier de marquage CE	expediente de marcado/señalización CE	     
 1 draps opératoires	tallas	     
 1 dyslexie	dislexia	     
 1 échantillon	muestra	     
 1 ëcole de soins de St-Loup	centro de formación de auxiliares de enfermería	     
 1 Ecoulement vaginal	Flujo vaginal	     
 1 Effet came	Efecto leva	     
 1 effet de masse modérée	efecto de masa moderado	     
 1 élastomère	elastómero	     
 1 élevage	cría	     
 1 élongase	elongasa	     
 1 enceinte thermostatée	recinto termostatizado	     
 1 enraidissement des articulations	rigidez de las articulaciones	     
 1 est porté avec une trop grande complaisance	se toma con excesiva complacencia...o con demasiada ligereza...	     
 1 et dans une moindre mesure L5-S1	(articulaciones L4L5) y menos L5S1	     
 1 extrasistoles	extrasístoles	     
 1 faisceau musculaire	haz / fascículo muscular	     
 1 flavonoides	flavonoides - moléculas de adhesión	     
 1 foyers trainants	focos móviles	     
 1 franche amélioration clinique et biologique	mejoría clínica y analítica francas	     
 1 gas vecteur	gas portador	     
 1 gavage	alimentación forzada	     
 1 gentianose	gentiooligosacáridos	     
 1 Glande surrénale	Glándula suprarrenal.	     
 1 HAD	Hospitalisation à domicile	     
 1 Hypothyroidie infraclinique substituée	Hipotiroidismo subclínico	     
 1 idiots savants	autistas inteligentes	     
 1 implant contraceptif	anticonceptivo de deposito	     
 1 Infirmier	Servicio de ATS/DUE	     
 1 injecteur	injector	     
 1 intégrateur	integrador	     
 1 interféron pégylé	interferón pegilado	     
 1 lignée de cellules	línea celular	     
 1 liseré	ribete	     
 1 lots	lotes	     
 1 Lyre	Cabezal, auriculares	     
 1 manchon d'irrigation	manga de irrigación	     
 1 médecins de soins primaires	(ESpagnol) médicos de atencion primaria	     
 1 mélanonychie	melanoniquia	     
 1 méningoencéphalite	meningoencefalitis	     
 1 méthilquinoléine	Nuevamente, sí...	     
 1 milieux de culture	medio de cultivo	     
 1 mise en mouvement	Inducción de movimiento a las muestras	     
 1 MSG (Membre supérieur gauche)	MSI (Miembro superior izquierdo)	     
 1 MST	ETS	     
 1 mur thoracique	pared torácica	     
 1 nerf honteux interne	nervio pudendo interno	     
 1 non-retrouvable	no localizable/perdido	     
 1 normocarde	con frecuencia cardíaca normal/ con pulso normal	     
 1 ocutomotricité	oculomotricité = oculomotricidad, motricidad ocular	     
 1 oeil préféré	ojo dominante, ojo director	     
 1 open coelio	Colecistectomia laparoscópica (coelioscópica), Laparoscopia abierta, laparoscopia a cielo abierto	     
 1 Oxygen desaturation index	ODI	     
 1 Pangel	Pangel	     
 1 pansements	apósitos	     
 1 paroi ombilicale	pared umbilical	     
 1 Péritoine (m.)	Peritoneo	     
 1 permanence/ urgences	Urgencias/ Guardia	     
 1 photocarcinogène	fotocarcinógeno	     
 1 phyto-clarifiant	fitoclarificante	     
 1 pic	pico	     
 1 pic	pico o valor máximo principal del cromatograma...	     
 1 pinguécule	pinguécula	     
 1 pistonnage	indoloro a la presión	     
 1 Plasmathèque	plasmateca, banco de plasma	     
 1 plateau	meseta	     
 1 plateaux	descansos, respiros	     
 1 Plot d'ancorage	Tetón de anclaje	     
 1 points gâchettes	Puntos gatillo	     
 1 points gâchettes	puntos gatillos	     
 1 pontage coronaire	puente coronario (by-passs coronario)	     
 1 prise en charge cosmétique	cuidado cosmético	     
 1 prise en charge médicale	seguimiento/tratamiento/atención médica	     
 1 prise en charge	personas atendidas	     
 1 probable typo pour sarcome histiocytaire	Sarcomas hístrocfticos	     
 1 Processus/Procédure de soins infirmiers (PSI)	Proceso de Atención de Enfermería (P.A.E.)	     
 1 protozoaire	protozoo	     
 1 radiographie de  frontière	radiografía de demarcación o de entrefase	     
 1 RAPE BARSKY MONOBLOC EN POUSSANT	escofina Barsky monobloque de empuje	     
 1 RAPE BARSKY MONOBLOC EN TIRANT	escofina Barsky monobloque de arrastre	     
 1 RAPE JOSEPH DOUBLE TAILLE	escofina Joseph de doble cara	     
 1 réactivité face à la nouveauté	reacción ante la novedad	     
 1 Référence et contre référence	Referencia y Contra Referencia	     
 1 Renaître dans le souffle	Renacer con la respiración	     
 1 réno-cave	reno-cavo	     
 1 Rétropéritoine	Retroperitoneo	     
 1 revalidations	rehabilitaciones, tratamientos de rehabilitación	     
 1 rhume	resfriado	     
 1 rotation	rotación	     
 1 RUGINE FRUCHAUD RETROGRADE	Raspador de Fruchaud retrógrado	     
 1 rupture de la conscience	pérdida de consciencia	     
 1 sage-femme	obstetriz	     
 1 Santé Sexuelle et Reproductive (SSR)	Salud sexual y reproductiva (SSR) / Planificación Familiar	     
 1 saturnisme	plumbofagia	     
 1 scléro-hyalinisés	esclerohialinizados	     
 1 se clive	se divide	     
 1 Secteur	Área Básica de Salud	     
 1 septum	septum	     
 1 sillon balano-préputial	surco balanoprepucial	     
 1 soins primaires d'intervention	con A. P. de intervenida	     
 1 soluté	soluto	     
 1 sorties d'études	abandono del estudio	     
 1 sous patch occlusif	bajo parche oclusivo	     
 1 spot	toma de muestras al azar	     
 1 Stages cliniques	Estancias Clínicas	     
 1 station unipodale	estación unipodal	     
 1 Status après AVC ischémique sylvien droit complet sur fibrillation auriculaire	Estado tras AVC isquemico silviano derecho completo debido a fibrilación auricular	     
 1 sténose mitrale moyennement serrée	estenosis mitral moderada	     
 1 subérythémale	la dosis suberitemal	     
 1 suites operatoires	consecuencias operatorias	     
 1 sur un support neutre	sobre un soporte/alimento neutro	     
 1 tarification à l'acte	tarificación por acto médico	     
 1 Taux de prise en charge	(índice o grado de) cobertura	     
 1 ténosynoviale	tenosinovial	     
 1 thermolabile	termolábil	     
 1 thermostatée	termostatizado, -a	     
 1 trocarder	pinchar (con un trocar)	     
 1 Tube contourné distal	Túbulo contorneado distal	     
 1 Tube contourné proximal	Túbulo contorneado proximal	     
 1 tube (intra-crânien/atrial)	tubo/catéter (intracraneal/atrial)	     
 1 Unité néonatale de soins intensifs / soins intensifs néonatals	UCI neonatos	     
 1 vaginose bactérienne	vaginosis bacteriana	     
 1 vecteur à queue lipidique	vector de cola lipídica	     
 1 veine pré cholédocienne	Vena (porta) precoledociana	     
 1 venir à bout	poner fin, acabar con	     
